DATE,TIME,Home,Away
8/12/2017,15:00,Arsenal,Leicester
8/12/2017,15:00,Brighton,Man City
8/12/2017,15:00,Chelsea,Burnley
8/12/2017,15:00,Crystal Palace,Huddersfield
8/12/2017,15:00,Everton,Stoke
8/12/2017,15:00,Man Utd,West Ham
8/12/2017,15:00,Newcastle,Tottenham
8/12/2017,15:00,Southampton,Swansea
8/12/2017,15:00,Watford,Liverpool
8/12/2017,15:00,West Brom,Bournemouth
8/19/2017,15:00,Bournemouth,Watford
8/19/2017,15:00,Burnley,West Brom
8/19/2017,15:00,Huddersfield,Newcastle
8/19/2017,15:00,Leicester,Brighton
8/19/2017,15:00,Liverpool,Crystal Palace
8/19/2017,15:00,Man City,Everton
8/19/2017,15:00,Southampton,West Ham
8/19/2017,15:00,Stoke,Arsenal
8/19/2017,15:00,Swansea,Man Utd
8/19/2017,15:00,Tottenham,Chelsea
8/26/2017,15:00,Bournemouth,Man City
8/26/2017,15:00,Chelsea,Everton
8/26/2017,15:00,Crystal Palace,Swansea
8/26/2017,15:00,Huddersfield,Southampton
8/26/2017,15:00,Liverpool,Arsenal
8/26/2017,15:00,Man Utd,Leicester
8/26/2017,15:00,Newcastle,West Ham
8/26/2017,15:00,Tottenham,Burnley
8/26/2017,15:00,Watford,Brighton
8/26/2017,15:00,West Brom,Stoke
9/9/2017,15:00,Arsenal,Bournemouth
9/9/2017,15:00,Brighton,West Brom
9/9/2017,15:00,Burnley,Crystal Palace
9/9/2017,15:00,Everton,Tottenham
9/9/2017,15:00,Leicester,Chelsea
9/9/2017,15:00,Man City,Liverpool
9/9/2017,15:00,Southampton,Watford
9/9/2017,15:00,Stoke,Man Utd
9/9/2017,15:00,Swansea,Newcastle
9/9/2017,15:00,West Ham,Huddersfield
9/16/2017,15:00,Bournemouth,Brighton
9/16/2017,15:00,Chelsea,Arsenal
9/16/2017,15:00,Crystal Palace,Southampton
9/16/2017,15:00,Huddersfield,Leicester
9/16/2017,15:00,Liverpool,Burnley
9/16/2017,15:00,Man Utd,Everton
9/16/2017,15:00,Newcastle,Stoke
9/16/2017,15:00,Tottenham,Swansea
9/16/2017,15:00,Watford,Man City
9/16/2017,15:00,West Brom,West Ham
9/23/2017,15:00,Arsenal,West Brom
9/23/2017,15:00,Brighton,Newcastle
9/23/2017,15:00,Burnley,Huddersfield
9/23/2017,15:00,Everton,Bournemouth
9/23/2017,15:00,Leicester,Liverpool
