"season","team","opponent","playing","half","goals"
"2012/13","Reading","Stoke",1,"first",0
"2012/13","QPR","Swansea",1,"first",0
"2012/13","West Brom","Liverpool",1,"first",1
"2012/13","West Ham","Aston Villa",1,"first",1
"2012/13","Arsenal","Sunderland",1,"first",0
"2012/13","Fulham","Norwich",1,"first",2
"2012/13","Newcastle","Tottenham",1,"first",0
"2012/13","Stoke","Reading",0,"first",1
"2012/13","Swansea","QPR",0,"first",1
"2012/13","Liverpool","West Brom",0,"first",0
"2012/13","Aston Villa","West Ham",0,"first",0
"2012/13","Sunderland","Arsenal",0,"first",0
"2012/13","Norwich","Fulham",0,"first",0
"2012/13","Tottenham","Newcastle",0,"first",0
"2012/13","Wigan","Chelsea",1,"first",0
"2012/13","Man City","Southampton",1,"first",1
"2012/13","Chelsea","Wigan",0,"first",2
"2012/13","Southampton","Man City",0,"first",0
"2012/13","Everton","Man Utd",1,"first",0
"2012/13","Man Utd","Everton",0,"first",0
"2012/13","Chelsea","Reading",1,"first",1
"2012/13","Reading","Chelsea",0,"first",2
"2012/13","Swansea","West Ham",1,"first",2
"2012/13","Tottenham","West Brom",1,"first",0
"2012/13","Aston Villa","Everton",1,"first",0
"2012/13","Man Utd","Fulham",1,"first",3
"2012/13","Norwich","QPR",1,"first",1
"2012/13","Southampton","Wigan",1,"first",0
"2012/13","Chelsea","Newcastle",1,"first",2
"2012/13","West Ham","Swansea",0,"first",0
"2012/13","West Brom","Tottenham",0,"first",0
"2012/13","Everton","Aston Villa",0,"first",3
"2012/13","Fulham","Man Utd",0,"first",1
"2012/13","QPR","Norwich",0,"first",1
"2012/13","Wigan","Southampton",0,"first",0
"2012/13","Newcastle","Chelsea",0,"first",0
"2012/13","Stoke","Arsenal",1,"first",0
"2012/13","Liverpool","Man City",1,"first",1
"2012/13","Arsenal","Stoke",0,"first",0
"2012/13","Man City","Liverpool",0,"first",0
"2012/13","West Ham","Fulham",1,"first",3
"2012/13","Wigan","Stoke",1,"first",1
"2012/13","Swansea","Sunderland",1,"first",1
"2012/13","Tottenham","Norwich",1,"first",0
"2012/13","West Brom","Everton",1,"first",0
"2012/13","Man City","QPR",1,"first",1
"2012/13","Fulham","West Ham",0,"first",0
"2012/13","Stoke","Wigan",0,"first",1
"2012/13","Sunderland","Swansea",0,"first",2
"2012/13","Norwich","Tottenham",0,"first",0
"2012/13","Everton","West Brom",0,"first",0
"2012/13","QPR","Man City",0,"first",0
"2012/13","Liverpool","Arsenal",1,"first",0
"2012/13","Newcastle","Aston Villa",1,"first",0
"2012/13","Southampton","Man Utd",1,"first",1
"2012/13","Arsenal","Liverpool",0,"first",1
"2012/13","Aston Villa","Newcastle",0,"first",1
"2012/13","Man Utd","Southampton",0,"first",1
"2012/13","Norwich","West Ham",1,"first",0
"2012/13","QPR","Chelsea",1,"first",0
"2012/13","Stoke","Man City",1,"first",1
"2012/13","Aston Villa","Swansea",1,"first",1
"2012/13","Fulham","West Brom",1,"first",2
"2012/13","Sunderland","Liverpool",1,"first",1
"2012/13","Man Utd","Wigan",1,"first",0
"2012/13","Arsenal","Southampton",1,"first",4
"2012/13","West Ham","Norwich",0,"first",0
"2012/13","Chelsea","QPR",0,"first",0
"2012/13","Man City","Stoke",0,"first",1
"2012/13","Swansea","Aston Villa",0,"first",0
"2012/13","West Brom","Fulham",0,"first",0
